build,arm,seed,hash,final_population,births,deaths,plant_count,plant_births,highest_plant_generation,mean_growth,mean_seed_investment,mean_dispersal,mean_resilience,mean_seed_production,mean_nutrition,mean_defense
fixed-9763374,calibration-competition,63,127397783642423943,48,172,136,24,229,15,0.541739,0.592818,0.585202,0.457395,0.386894,0.675228,0.291264
fixed-9763374,calibration-contest,63,9952580002393453660,47,154,119,23,175,14,0.519993,0.539405,0.595449,0.575829,0.438725,0.675255,0.266915
fixed-9763374,calibration-competition,64,3901224181184303846,48,150,114,22,214,15,0.512634,0.503563,0.646036,0.381749,0.489940,0.641493,0.185587
fixed-9763374,calibration-contest,64,2206864006921897361,48,150,114,24,188,13,0.495869,0.539418,0.702349,0.507081,0.559580,0.636896,0.365829
fixed-9763374,calibration-competition,65,3984873359082424946,48,158,122,23,213,14,0.571671,0.518505,0.575244,0.607192,0.463696,0.639997,0.396001
fixed-9763374,calibration-contest,65,10815899027854552006,48,163,127,23,184,15,0.585917,0.475043,0.561182,0.433848,0.453016,0.615460,0.371975
fixed-9763374,calibration-competition,66,10481965702335247156,48,134,98,24,202,15,0.470634,0.500713,0.581947,0.486409,0.435721,0.722162,0.270737
fixed-9763374,calibration-contest,66,13443664869447028607,48,136,100,24,186,14,0.503832,0.401582,0.553212,0.445423,0.513112,0.618070,0.334558
fixed-9763374,calibration-competition,67,6455209430542797825,48,144,108,24,229,15,0.573169,0.527727,0.628331,0.470456,0.530700,0.587999,0.315228
fixed-9763374,calibration-contest,67,17265983291674934126,48,146,110,23,187,16,0.598936,0.511623,0.521644,0.583942,0.501573,0.713759,0.273830
fixed-9763374,calibration-competition,68,1971189660969694795,48,134,98,23,199,17,0.562253,0.485460,0.493610,0.518835,0.574575,0.639998,0.433572
fixed-9763374,calibration-contest,68,9479900747696332937,48,137,101,21,163,13,0.470180,0.398340,0.478201,0.546596,0.567970,0.703255,0.322828
fixed-9763374,calibration-competition,69,18321643414605847056,48,139,103,24,226,16,0.549901,0.441397,0.658855,0.402578,0.541404,0.605301,0.236067
fixed-9763374,calibration-contest,69,11035808109361571353,48,149,113,21,180,15,0.475292,0.464245,0.495543,0.520386,0.621533,0.601292,0.195450
fixed-9763374,calibration-competition,70,1870936909403961351,48,137,101,21,217,14,0.541104,0.503011,0.555820,0.473906,0.456680,0.560150,0.317502
fixed-9763374,calibration-contest,70,4729703125598984499,48,138,102,23,199,13,0.470818,0.427974,0.572455,0.397266,0.496927,0.575819,0.281055
fixed-9763374,calibration-competition,71,7619098326155957050,48,134,98,23,208,13,0.512160,0.589815,0.563603,0.488468,0.503842,0.672956,0.227636
fixed-9763374,calibration-contest,71,8928836377682934057,48,138,102,24,185,15,0.543995,0.496578,0.511622,0.440435,0.465546,0.726493,0.360976
